CODIGO CIE;CODIGO INEP;ESCOLA;DIRETORIA;MUNICIPIO;ANOS INICIAIS;ANOS FINAIS;ENSINO MEDIO
292;35000292;DALILA DE ANDRADE COSTA PROFESSORA;NORTE 1;SAO PAULO;4.16;;
309;35000309;BENEDITO TOLOSA PROFESSOR;CENTRO;SAO PAULO;4.71;3.20;2.60
310;35000310;ARY BARROSO;CENTRO;SAO PAULO;5.30;;
322;35000322;PEDRO MONTEIRO DO AMARAL CAPITAO;CENTRO;SAO PAULO;;3.10;2.92
334;35000334;MANUEL DA NOBREGA PADRE;CENTRO;SAO PAULO;;3.77;2.75
346;35000346;MANOEL DA NOBREGA PADRE;NORTE 1;SAO PAULO;6.07;;
358;35000358;MATILDE MACEDO SOARES;CENTRO;SAO PAULO;5.54;3.12;
361;35000361;PASQUALE PECCICACCO;NORTE 1;SAO PAULO;5.51;;
371;35000371;ANTONIO JOSE LEITE PROF;NORTE 2;SAO PAULO;;3.46;2.57
383;35000383;ANTOINE DE SAINT EXUPERY;CENTRO;SAO PAULO;;3.37;2.72
395;35000395;JOAQUIM LUIZ DE BRITO PROFESSOR;NORTE 1;SAO PAULO;;3.56;2.18
401;35000401;MARQUES DE TAMANDARE ALMIRANTE;NORTE 1;SAO PAULO;;3.55;2.21
413;35000413;JOAQUIM SILVADO DOUTOR;NORTE 1;SAO PAULO;;3.01;2.03
425;35000425;REPUBLICA DO CHILE;NORTE 2;SAO PAULO;6.76;;
437;35000437;ANGELINA MADUREIRA PROFESSORA;CENTRO;SAO PAULO;5.70;;
449;35000449;TAUNAY VISCONDE DE;CENTRO;SAO PAULO;5.86;;
450;35000450;AUGUSTO RIBEIRO DE CARVALHO PROFESSOR;NORTE 1;SAO PAULO;;3.41;1.83
462;35000462;AUGUSTO MEIRELLES REIS FILHO PROFESSOR;CENTRO;SAO PAULO;;2.30;2.28
474;35000474;MATHIAS AIRES;NORTE 1;SAO PAULO;6.21;;
498;35000498;LUIZ GONZAGA RIGHINI PROFESSOR;CENTRO;SAO PAULO;;2.78;2.01
504;35000504;MARIO TEIXEIRA MARIANO PROFESSOR;CENTRO;SAO PAULO;5.92;;
516;35000516;JOSE CARLOS DIAS PROFESSOR;CENTRO;SAO PAULO;5.41;;
528;35000528;COLOMBO DE ALMEIDA PROFESSOR;CENTRO;SAO PAULO;;3.18;2.49
536;35000536;TARCISIO ALVARES LOBO;CENTRO;SAO PAULO;;3.30;2.09
541;35000541;JOAQUIM NABUCO;CENTRO;SAO PAULO;5.41;;
553;35000553;JACOMO STAVALE PROFESSOR;NORTE 1;SAO PAULO;;4.28;3.03
565;35000565;NOSSA SENHORA DO RETIRO;NORTE 1;SAO PAULO;5.29;;
577;35000577;DULCE FERREIRA BOARIN PROFESSORA;CENTRO;SAO PAULO;;3.45;2.69
589;35000589;PLINIO DAMASCO PENNA PROFESSOR;NORTE 1;SAO PAULO;;4.18;3.51
590;35000590;PAULO SETUBAL;CENTRO;SAO PAULO;6.72;;
607;35000607;TITO PRATES DA FONSECA;NORTE 2;SAO PAULO;;3.34;2.34
619;35000619;REGENTE FEIJO;NORTE 1;SAO PAULO;5.51;;
620;35000620;ANTONIO EMILIO SOUZA PENNA PROFESSOR;NORTE 1;SAO PAULO;;3.73;2.69
632;35000632;AUGUSTO DE MACEDO COSTA DOUTOR;NORTE 1;SAO PAULO;6.49;;
644;35000644;PIO XII;NORTE 1;SAO PAULO;4.70;;
656;35000656;FRONTINO GUIMARAES;CENTRO;SAO PAULO;;4.21;
668;35000668;ROMULO PERO PROFESSOR;CENTRO;SAO PAULO;;3.63;3.06
673;35000673;PAULO EGYDIO DE OLIVEIRA CARVALHO SENADOR;LESTE 5;SAO PAULO;;3.66;2.57
681;35000681;TOLEDO BARBOSA;CENTRO;SAO PAULO;5.95;3.65;
693;35000693;RITA BICUDO PEREIRA PROFA;NORTE 2;SAO PAULO;5.37;2.85;2.31
700;35000700;HORACIO LAFER MINISTRO;LESTE 5;SAO PAULO;5.51;;
711;35000711;NARBAL FONTES PROFESSORA;CENTRO;SAO PAULO;;3.55;3.19
723;35000723;OCTAVIO MENDES DOUTOR;CENTRO;SAO PAULO;;3.92;3.25
735;35000735;PAUL HUGON PROF;NORTE 2;SAO PAULO;;3.89;2.44
747;35000747;MARIA MONTESSORI;LESTE 5;SAO PAULO;;3.05;2.78
759;35000759;FLORINDA CARDOSO PROFESSORA;LESTE 5;SAO PAULO;5.49;;
760;35000760;AFRANIO PEIXOTO;CENTRO;SAO PAULO;;3.39;3.14
772;35000772;VISCONDE DE INHAUMA ALMIRANTE;NORTE 2;SAO PAULO;6.25;;
784;35000784;ANESIA SINCORA PROFESSORA;CENTRO;SAO PAULO;3.82;2.83;
796;35000796;HEROIS DA FEB;LESTE 5;SAO PAULO;;2.80;1.96
802;35000802;IMPERATRIZ LEOPOLDINA;LESTE 5;SAO PAULO;;3.53;2.45
814;35000814;RAQUEL ASSIS BARREIROS PROFA;NORTE 2;SAO PAULO;;3.08;2.05
838;35000838;JOAO VIEIRA DE ALMEIDA;LESTE 5;SAO PAULO;;3.99;2.39
848;35000848;JOAQUIM LEME DO PRADO PROFESSOR;CENTRO;SAO PAULO;;4.57;3.24
851;35000851;JULIO MAIA;LESTE 5;SAO PAULO;6.00;;
863;35000863;JOSE MARCELINO DA FONSECA MAJOR;NORTE 2;SAO PAULO;7.46;;
875;35000875;CASTRO ALVES;NORTE 2;SAO PAULO;;3.23;2.54
899;35000899;PEDRO COSTA DEPUTADO;CENTRO;SAO PAULO;5.58;;
905;35000905;CARLOS DE LAET PROF;NORTE 2;SAO PAULO;;3.28;3.62
917;35000917;ANTONIO LISBOA PROFESSOR;CENTRO;SAO PAULO;;3.39;2.88
929;35000929;ANTONIO VIEIRA PADRE;CENTRO;SAO PAULO;;;3.78
930;35000930;HOMEM DE MELLO BARAO;CENTRO;SAO PAULO;;3.05;2.90
942;35000942;BUENOS AIRES;CENTRO;SAO PAULO;;;3.64
966;35000966;GONCALVES DIAS;CENTRO;SAO PAULO;;3.43;2.69
978;35000978;CASIMIRO DE ABREU;CENTRO;SAO PAULO;;4.49;3.89
985;35000985;REPUBLICA DA BOLIVIA;CENTRO;SAO PAULO;6.74;;
1004;35001004;EURICO FIGUEIREDO PROF;NORTE 2;SAO PAULO;;3.08;2.54
1016;35001016;ALBERTO CARDOSO DE MELLO NETO DR;NORTE 2;SAO PAULO;;3.48;2.42
1028;35001028;VICTOR DOS SANTOS CUNHA PROF;NORTE 2;SAO PAULO;;2.64;2.02
1036;35001036;SEBASTIAO DE SOUZA BUENO PROF;NORTE 2;SAO PAULO;;2.98;2.76
1041;35001041;JOHANN GUTENBERG;NORTE 2;SAO PAULO;;3.06;2.08
1053;35001053;LUIZ AMARAL WAGNER PROF;NORTE 2;SAO PAULO;5.49;;
1065;35001065;DAVID EUGENIO DOS SANTOS PROF;NORTE 2;SAO PAULO;5.58;;
1077;35001077;JUDITH GUIMARAES DOS SANTOS PROFA;NORTE 2;SAO PAULO;6.11;;
1089;35001089;GABRIELA MISTRAL;NORTE 2;SAO PAULO;4.24;3.03;
1090;35001090;JOSE MARIA REYS PROF;NORTE 2;SAO PAULO;6.48;;
1119;35001119;EURIPEDES DE CASTRO;NORTE 2;SAO PAULO;6.51;;
1120;35001120;EXPEDICIONARIO BRASILEIRO;CENTRO;SAO PAULO;6.58;;
1132;35001132;PEDRO ALEXANDRINO;NORTE 2;SAO PAULO;;3.65;2.55
1144;35001144;JULIO PESTANA;NORTE 2;SAO PAULO;;2.76;1.69
1156;35001156;SILVA JARDIM;NORTE 2;SAO PAULO;;3.91;2.92
1168;35001168;ALFREDO INACIO TRINDADE;NORTE 2;SAO PAULO;;3.91;3.12
1173;35001173;ALBINO CESAR;NORTE 2;SAO PAULO;;3.36;2.96
1181;35001181;RAFAEL DE MORAES LIMA PROF;NORTE 2;SAO PAULO;6.81;;
1193;35001193;PHILOMENA BAYLAO PROFA;NORTE 2;SAO PAULO;5.32;3.41;2.85
1200;35001200;LAEL DE MOURA PRADO PROF;NORTE 2;SAO PAULO;6.05;;
1211;35001211;MIGUEL VIEIRA FERREIRA DR;NORTE 2;SAO PAULO;7.08;;
1223;35001223;MARIA PAULA MARCONDES DOMINGUES PROFA;NORTE 2;SAO PAULO;6.10;;
1235;35001235;CYRENE DE OLIVEIRA LAET DONA;NORTE 2;SAO PAULO;;3.43;2.50
1247;35001247;RUY BARBOSA CONSELHEIRO;NORTE 2;SAO PAULO;;3.25;2.91
1259;35001259;JOAO LIGABUE CONEGO;NORTE 2;SAO PAULO;;3.20;2.37
1272;35001272;ANGELO BORTOLO;NORTE 2;SAO PAULO;;3.33;2.10
1284;35001284;AMENAIDE BRAGA DE QUEIROZ PROFA;NORTE 2;SAO PAULO;;4.11;3.31
1296;35001296;CARMOSINA MONTEIRO VIANNA PROFA;NORTE 2;SAO PAULO;;2.93;2.07
1302;35001302;ARNALDO BARRETO;NORTE 2;SAO PAULO;;2.89;1.83
1314;35001314;CASSIO DA COSTA VIDIGAL;NORTE 2;SAO PAULO;5.26;;
1326;35001326;PEDRO DE MORAES VICTOR DR;NORTE 2;SAO PAULO;;1.88;1.59
1338;35001338;MARIA ANGELITA SAYAGO LAET PROFA;NORTE 2;SAO PAULO;5.90;;
1348;35001348;JOSE DO AMARAL MELLO PROF;NORTE 2;SAO PAULO;4.28;2.57;1.46
1351;35001351;ADEMAR HIROSHI SUDA PROF;NORTE 2;SAO PAULO;8.33;;
1363;35001363;SAO PAULO;CENTRO;SAO PAULO;;;4.12
1375;35001375;LOUREIRO JUNIOR PROFESSOR;LESTE 5;SAO PAULO;;;3.25
1387;35001387;THEODORO DE MORAES PROFESSOR;LESTE 5;SAO PAULO;6.43;;
1399;35001399;PAULO MONTE SERRAT PROFESSOR;LESTE 5;SAO PAULO;6.29;;
1405;35001405;ROMAO PUIGARI;CENTRO;SAO PAULO;5.15;;
1417;35001417;ISAI LEIRNER;LESTE 5;SAO PAULO;;;4.20
1430;35001430;ANDRE OHL;LESTE 5;SAO PAULO;6.42;;
1442;35001442;ANDRE XAVIER GALLICHO PROFESSOR;LESTE 5;SAO PAULO;6.48;3.64;2.12
1454;35001454;ANTONIO FIRMINO DE PROENCA PROF;CENTRO;SAO PAULO;;3.64;2.59
1466;35001466;AMADEU AMARAL;LESTE 5;SAO PAULO;;3.71;2.07
1478;35001478;EDUARDO PRADO;CENTRO;SAO PAULO;5.44;3.79;
1485;35001485;GUERINO RASO;LESTE 5;SAO PAULO;5.86;;
1491;35001491;ANNA TEIXEIRA PRADO ZACHARIAS PROFESSORA;LESTE 5;SAO PAULO;;3.38;2.73
1508;35001508;ANTONIO DE QUEIROZ TELLES DOUTOR;LESTE 5;SAO PAULO;6.00;;
1512;35001512;ARMANDO ARAUJO;CENTRO SUL;SAO PAULO;6.08;3.88;
1521;35001521;PAULO LUIG FREI;CENTRO;SAO PAULO;5.17;3.06;2.32
1545;35001545;PANDIA CALOGERAS;CENTRO SUL;SAO PAULO;5.72;;
1557;35001557;BENEDITO MATARAZZO DEPUTADO;SAO JOSE DOS CAMPOS;SAO JOSE DOS CAMPOS;;4.24;3.04
1569;35001569;OSWALDO CRUZ;CENTRO SUL;SAO PAULO;7.03;4.03;2.77
1570;35001570;ORESTES GUIMARAES;CENTRO;SAO PAULO;6.10;2.66;2.46
1582;35001582;DOMINGOS FAUSTINO SARMIENTO;LESTE 5;SAO PAULO;4.96;;
1600;35001600;PLINIO BARRETO;LESTE 5;SAO PAULO;;4.29;2.54
1624;35001624;WOLNY CARVALHO RAMOS PROFESSOR;LESTE 5;SAO PAULO;;4.00;3.19
1659;35001659;ANCHIETA PADRE;CENTRO;SAO PAULO;;3.24;2.32
1661;35001661;MMDC;CENTRO SUL;SAO PAULO;;4.65;4.08
1673;35001673;MARIA DA GLORIA COSTA E SILVA PROFESSORA;LESTE 5;SAO PAULO;;3.39;2.16
1685;35001685;MARIO CASASSANTA PROFESSOR;CENTRO SUL;SAO PAULO;;3.28;2.83
1697;35001697;BEATRIZ R BASSI ASTORINO PROFESSORA;LESTE 5;SAO PAULO;5.22;4.03;
1703;35001703;MARIO MARQUES DE OLIVEIRA PROFESSOR;LESTE 5;SAO PAULO;;;3.41
1727;35001727;VICTOR MIGUEL ROMANO PROF;LESTE 4;SAO PAULO;;3.21;2.14
1739;35001739;ANDRE DREYFUS PROFESSOR;CENTRO SUL;SAO PAULO;5.68;;
1740;35001740;STEFAN ZWEIG;LESTE 5;SAO PAULO;;2.73;2.46
1752;35001752;AROLDO DE AZEVEDO PROF;LESTE 4;SAO PAULO;;3.19;2.35
1764;35001764;ANNITA ATALLA PROFESSORA;CENTRO SUL;SAO PAULO;6.41;;
1776;35001776;SECUNDINO DOMINGUES FILHO DOUTOR;LESTE 5;SAO PAULO;6.06;3.31;2.25
1788;35001788;OLGA BENATTI PROFESSORA;CENTRO SUL;SAO PAULO;;4.91;4.54
1797;35001797;BRISABELLA ALMEIDA NOBRE PROFESSORA;CENTRO SUL;SAO PAULO;;4.64;3.92
1806;35001806;JOY ARRUDA DOUTOR;LESTE 5;SAO PAULO;6.33;;
1818;35001818;JOCELYN PONTES GESTAL PROF;LESTE 4;SAO PAULO;5.46;;
1824;35001824;JOSE HEITOR CARUSI PROFESSOR;CENTRO SUL;SAO PAULO;;4.01;3.00
1843;35001843;FRANCISCO BORGES VIEIRA DOUTOR;CENTRO SUL;SAO PAULO;;3.32;2.10
1855;35001855;AMERICO DE MOURA PROFESSOR;CENTRO SUL;SAO PAULO;;;3.07
1867;35001867;LUIZA MENDES CORREA SOUZA PROFESSORA;LESTE 5;SAO PAULO;5.35;3.52;2.34
1879;35001879;JOAO FIRMINO DE CAMPOS;CENTRO SUL;SAO PAULO;6.33;;
1880;35001880;JOSE CHEDIAK;LESTE 5;SAO PAULO;;4.03;3.08
1892;35001892;REPUBLICA DO PARAGUAY;CENTRO SUL;SAO PAULO;6.86;4.27;
1909;35001909;CAROLINA AUGUSTA DA COSTA GALVAO PROFESSORA;CENTRO SUL;SAO PAULO;5.05;3.21;
1910;35001910;CLEMENTE QUAGLIO PROFESSOR;LESTE 5;SAO PAULO;;;3.87
1922;35001922;JULIETA NOGUEIRA RINALDI PROFESSORA;LESTE 5;SAO PAULO;6.68;;
1934;35001934;JOAQUIM BRAGA DE PAULA PROFESSOR;LESTE 5;SAO PAULO;;3.44;2.34
1958;35001958;JULIA MACEDO PANTOJA PROFESSORA;CENTRO SUL;SAO PAULO;6.60;4.03;3.01
1961;35001961;NORBERTO MAYER FILHO DEPUTADO;LESTE 5;SAO PAULO;;3.86;2.79
1971;35001971;MOACYR CAMPOS PROFESSOR;LESTE 5;SAO PAULO;;3.64;2.57
1995;35001995;JULIA AMALIA AZEVEDO ANTUNES PROFESSORA;LESTE 5;SAO PAULO;6.39;;
2008;35002008;JOAO DIAS DA SILVEIRA PROFESSOR;LESTE 5;SAO PAULO;;;3.48
2012;35002012;JOAO CLIMACO DA SILVA KRUSE PROFESSOR;LESTE 5;SAO PAULO;6.32;;
2021;35002021;IRENE RIBEIRO PROFESSORA;LESTE 5;SAO PAULO;7.36;;
2045;35002045;ALVINO BITTENCOURT PROFESSOR;LESTE 5;SAO PAULO;7.37;;
2057;35002057;AMELIA DE ARAUJO DONA;LESTE 5;SAO PAULO;;3.90;3.37
2069;35002069;ARACY LEME DA VEIGA RAVACHE PROFESSORA;LESTE 5;SAO PAULO;;3.77;2.17
2070;35002070;BENEDITO ESTEVAM DOS SANTOS DOUTOR;LESTE 5;SAO PAULO;6.77;;
2082;35002082;BLANCA ZWICKER SIMOES PROFESSORA;LESTE 5;SAO PAULO;7.33;;
2094;35002094;FREDERICO VERGUEIRO STEIDEL;LESTE 5;SAO PAULO;7.55;;
2100;35002100;ERASMO BRAGA;LESTE 5;SAO PAULO;6.47;;
2112;35002112;CONGONHAS DO CAMPO VISCONDE DE;LESTE 5;SAO PAULO;;4.04;
2124;35002124;CARLOS ESCOBAR;LESTE 5;SAO PAULO;4.78;;
2136;35002136;CARAMURU;LESTE 5;SAO PAULO;;3.98;2.62
2148;35002148;PAULO NOVAES DE CARVALHO PROFESSOR;LESTE 5;SAO PAULO;;3.49;3.08
2159;35002159;PEDRO ARBUES CORONEL;LESTE 5;SAO PAULO;;;2.40
2161;35002161;SALVADOR ROCCO PROFESSOR;LESTE 5;SAO PAULO;;3.67;3.02
2173;35002173;JOAO BORGES PROFESSOR;LESTE 5;SAO PAULO;;4.89;3.82
2197;35002197;IRENE DE LIMA PAIVA PROFESSORA;LESTE 5;SAO PAULO;;4.16;2.95
2203;35002203;JOSE MARQUES DA CRUZ PROFESSOR;LESTE 5;SAO PAULO;;;3.23
2227;35002227;BENEDITA RIBAS F SILVEIRA PROFESSORA;LESTE 5;SAO PAULO;;3.76;
2239;35002239;ALMERINDA RODRIGUES MELLO PROFESSORA;LESTE 5;SAO PAULO;;2.20;1.94
2240;35002240;ANTONIO CANDIDO BARONE;LESTE 5;SAO PAULO;;3.63;
2252;35002252;ASCENDINO REIS PROFESSOR;LESTE 5;SAO PAULO;;;2.54
2264;35002264;OSWALDO CATALANO;LESTE 5;SAO PAULO;;;2.63
2288;35002288;PAULO CAVALCANTI ALBUQUERQUE PROFESSOR;LESTE 5;SAO PAULO;5.72;;
2297;35002297;ORVILLE DERBY;LESTE 5;SAO PAULO;;3.28;2.77
2318;35002318;SANTOS AMARO DA CRUZ PROFESSOR;LESTE 5;SAO PAULO;;3.91;2.18
2331;35002331;PILAR GARCIA VIDAL DONA;LESTE 4;SAO PAULO;;3.17;2.63
2343;35002343;MARIA LOURDES N ALBERGARIA PROFA;LESTE 4;SAO PAULO;5.43;3.08;
2355;35002355;MARISA DE MELLO PROFA;LESTE 4;SAO PAULO;6.78;;
2367;35002367;OLGA MARINOVIC DORO PROFA;LESTE 4;SAO PAULO;6.40;;
2379;35002379;RITA JULIA DE OLIVEIRA PROFESSORA;LESTE 1;SAO PAULO;5.29;;
2380;35002380;SANTOS DUMONT;LESTE 1;SAO PAULO;5.75;;
2392;35002392;JOSE BARTOCCI PROFESSOR;LESTE 1;SAO PAULO;5.62;;
2409;35002409;LUIZ ANTONIO FRAGOSO PROF;LESTE 4;SAO PAULO;;;3.04
2410;35002410;THEODOMIRO EMERIQUE PROFESSOR;LESTE 1;SAO PAULO;5.84;;
2422;35002422;GABRIEL ORTIZ PROFESSOR;LESTE 1;SAO PAULO;;;3.10
2434;35002434;JAMIL PEDRO SAWAYA PROF;LESTE 4;SAO PAULO;;3.47;2.29
2446;35002446;JOSE DE CAMPOS CAMARGO PROFESSOR;LESTE 1;SAO PAULO;6.31;;
2458;35002458;BERNARDO RODRIGUES NOGUEIRA DOM;LESTE 4;SAO PAULO;6.62;;
2461;35002461;JOAO MARIA OGNO OSB DOM;LESTE 1;SAO PAULO;;2.32;2.50
2471;35002471;ZALINA ROLIM DONA;LESTE 4;SAO PAULO;;3.39;2.48
2483;35002483;ESTHER FRANKEL SAMPAIO;LESTE 1;SAO PAULO;;3.33;2.02
2513;35002513;NOSSA SENHORA DA PENHA;LESTE 1;SAO PAULO;;;3.09
2525;35002525;ANTAO PADRE;LESTE 1;SAO PAULO;;2.78;1.89
2537;35002537;ADALGISA MOREIRA PIRES PROFESSORA;LESTE 1;SAO PAULO;5.50;;
2549;35002549;ADELAIDE FERRAZ DE OLIVEIRA PROFA;LESTE 4;SAO PAULO;;3.97;2.52
2550;35002550;MARIA APARECIDA DE CASTRO MASIERO PROFESSORA;LESTE 1;SAO PAULO;;;3.68
2562;35002562;MARIA DE CARVALHO SENNE PROFESSORA;LESTE 1;SAO PAULO;;3.14;2.61
2574;35002574;CUSTODIO JOSE DE MELLO ALMIRANTE;LESTE 1;SAO PAULO;;3.76;
2586;35002586;BARAO DE RAMALHO;LESTE 1;SAO PAULO;;2.92;2.26
2598;35002598;ASTOLFO ARAUJO DEPUTADO;LESTE 4;SAO PAULO;;3.02;2.13
2616;35002616;MARIA AUGUSTA DE AVILA PROFA;LESTE 4;SAO PAULO;;1.99;2.00
2636;35002636;INFANTE DOM HENRIQUE;LESTE 4;SAO PAULO;;3.95;2.90
2641;35002641;JOSE PEREIRA DE QUEIROZ DR;LESTE 4;SAO PAULO;;;3.15
2653;35002653;AFONSO PENNA JUNIOR PROF;LESTE 4;SAO PAULO;;3.43;2.15
2665;35002665;SOUZA QUEIROZ BARAO DE;LESTE 1;SAO PAULO;5.64;;
2677;35002677;JOSE TALARICO;LESTE 4;SAO PAULO;;2.50;2.31
2689;35002689;EXERCITO BRASILEIRO;LESTE 4;SAO PAULO;;;2.02
2690;35002690;JOAO RAMACCIOTTI PROF;LESTE 4;SAO PAULO;;;2.76
2707;35002707;VITAL FOGACA DE ALMEIDA DOUTOR;LESTE 1;SAO PAULO;;3.38;2.24
2719;35002719;CAETANO MIELE PROFESSOR;LESTE 1;SAO PAULO;;3.06;1.66
2720;35002720;ANNITA GUASTINI EIRAS PROFESSORA;LESTE 1;SAO PAULO;6.71;;
2732;35002732;IRENE BRANCO DA SILVA PROFESSORA;LESTE 1;SAO PAULO;4.80;2.80;1.93
2744;35002744;FILOMENA MATARAZZO CONDESSA;LESTE 1;SAO PAULO;;;2.16
2756;35002756;EUNICE LAUREANO DA SILVA PROFESSORA;LESTE 1;SAO PAULO;6.85;;
2768;35002768;VALACE MARQUES PROFESSOR;LESTE 1;SAO PAULO;5.22;3.95;
2773;35002773;BENEDITA DE REZENDE PROFESSORA;LESTE 1;SAO PAULO;;3.33;2.04
2781;35002781;JOSE DE CARVALHO PADRE;LESTE 1;SAO PAULO;6.12;;
2793;35002793;REPUBLICA DO URUGUAI;LESTE 1;SAO PAULO;;3.33;
2800;35002800;THEREZA DOROTHEA DE ARRUDA REGO PROFESSORA;LESTE 1;SAO PAULO;;3.06;1.66
2811;35002811;SILVA PRADO DEPUTADO;LESTE 1;SAO PAULO;;3.61;1.47
2823;35002823;MARINHA DO BRASIL;LESTE 1;SAO PAULO;5.20;;
2835;35002835;ERMELINO MATARAZZO;LESTE 1;SAO PAULO;;2.97;2.19
2847;35002847;MIGUEL DE CERVANTES Y SAAVEDRA DOM;LESTE 1;SAO PAULO;;4.07;2.32
2859;35002859;MARIO KOZEL FILHO;LESTE 2;SAO PAULO;4.18;2.47;1.93
2860;35002860;ESTELA BORGES MORATO;LESTE 2;SAO PAULO;4.84;;2.33
2872;35002872;MAXIMO DE MOURA SANTOS PROFESSOR;LESTE 1;SAO PAULO;5.22;;
2884;35002884;RAUL PILLA DEPUTADO;LESTE 1;SAO PAULO;;4.55;
2896;35002896;GALILEO EMENDABILI ESCULTOR;LESTE 1;SAO PAULO;6.04;;
2902;35002902;CARLOS GOMES;LESTE 2;SAO PAULO;;3.28;2.95
2914;35002914;DOM PEDRO I;LESTE 2;SAO PAULO;;;2.44
2926;35002926;ARMANDO GOMES DE ARAUJO PROF;LESTE 2;SAO PAULO;;2.92;2.57
2938;35002938;ALBERTO SCHWEITZER;LESTE 2;SAO PAULO;6.06;;
2948;35002948;PLINIO CAIADO DE CASTRO DR;LESTE 2;SAO PAULO;5.52;;
2951;35002951;MANOEL DE NOBREGA DEPUTADO;LESTE 2;SAO PAULO;;4.68;
2963;35002963;JOSE BONIFACIO ANDRADA E SILVA JARDIM PROF;LESTE 2;SAO PAULO;;3.26;1.91
2975;35002975;MARIO REYS COMENDADOR;LESTE 1;SAO PAULO;;3.37;2.41
2987;35002987;GABRIEL PELICIOTTI PROFESSOR;LESTE 1;SAO PAULO;5.61;;
2999;35002999;SHINQUICHI AGARI;LESTE 2;SAO PAULO;4.97;3.24;2.40
3001;35003001;DARIO DE QUEIROZ PROF;LESTE 2;SAO PAULO;5.77;2.92;2.94
3013;35003013;DIOGO DE FARIA DR;LESTE 2;SAO PAULO;5.79;;2.70
3037;35003037;ATAULPHO ALVES;LESTE 2;SAO PAULO;;3.77;2.63
3049;35003049;ANTONIO DE PADUA VIEIRA;LESTE 2;SAO PAULO;6.05;;
3050;35003050;ELIZA RAQUEL MACEDO DE SOUZA PROFA;LESTE 2;SAO PAULO;;4.11;2.19
3062;35003062;EMILIA DE PAIVA MEIRA PROFESSORA;LESTE 1;SAO PAULO;;3.34;2.11
3074;35003074;GERALDO DOMINGOS CORTEZ PROFESSOR;LESTE 1;SAO PAULO;5.23;;
3086;35003086;HELENA LOMBARDI BRAGA PROFESSORA;LESTE 1;SAO PAULO;;3.07;2.48
3098;35003098;ASCANIO DE AZEVEDO CASTILHO PROF;LESTE 4;SAO PAULO;4.97;;
3104;35003104;CIDADE DE HIROSHIMA;LESTE 4;SAO PAULO;;3.12;2.01
3116;35003116;APPARECIDA RAHAL PROFESSORA;LESTE 1;SAO PAULO;;3.57;1.43
3128;35003128;DECIO FERRAZ ALVIM PROFESSOR DOUTOR;LESTE 3;SAO PAULO;4.98;3.12;1.66
3136;35003136;LINA DA COSTA COUTO PROFA;LESTE 4;SAO PAULO;5.55;;
3141;35003141;LUIZ ROSANOVA PROFESSOR;LESTE 3;SAO PAULO;;3.47;2.19
3153;35003153;LUZIA DE QUEIROZ E OLIVEIRA PROFA;LESTE 4;SAO PAULO;;4.00;2.12
3165;35003165;JANDYRA VIEIRA CUNHA BARRA PROFA;LESTE 4;SAO PAULO;6.50;;
3177;35003177;ALCIDES BOSCOLO PROFESSOR;LESTE 3;SAO PAULO;5.56;;
3189;35003189;ALFREDO MACHADO PEDROSA PROF;LESTE 4;SAO PAULO;4.96;;
3190;35003190;ALVARES DE AZEVEDO;LESTE 1;SAO PAULO;5.38;;
3207;35003207;MARIA CECILIA DA SILVA GROHMANN PROFESSORA;LESTE 1;SAO PAULO;5.31;;
3219;35003219;MARIA DA CONCEICAO OLIVEIRA COSTA PROFESSORA;LESTE 1;SAO PAULO;6.04;;
3220;35003220;MILTON CRUZEIRO PROFESSOR;LESTE 1;SAO PAULO;;3.25;1.65
3232;35003232;ADELINO JOSE DA SILVA D AZEVEDO PROF;LESTE 4;SAO PAULO;;3.48;2.51
3244;35003244;ADHEMAR ANTONIO PRADO PROFESSOR;LESTE 3;SAO PAULO;;2.86;1.99
3256;35003256;PEDRO TAQUES;LESTE 3;SAO PAULO;;2.80;2.27
3268;35003268;SEBASTIAO FARIA ZIMBRES PROFESSOR;LESTE 3;SAO PAULO;;2.92;2.14
3273;35003273;SAO JOAO EVANGELISTA;LESTE 4;SAO PAULO;5.89;3.77;2.37
3281;35003281;BALBINA NETTO VELLOSO PROFA;LESTE 2;SAO PAULO;4.68;;
3293;35003293;THALES CASTANHO DE ANDRADE PROFESSOR;LESTE 1;SAO PAULO;5.67;;
3300;35003300;ALFREDO ASHCAR PROF;LESTE 4;SAO PAULO;5.42;;
3311;35003311;ANDRE NUNES JUNIOR;LESTE 3;SAO PAULO;5.05;;
3323;35003323;RITA PINTO DE ARAUJO PROFESSORA;LESTE 3;SAO PAULO;5.05;;
3335;35003335;WALTER BELIAN;LESTE 4;SAO PAULO;6.45;;
3347;35003347;REYNALDO PORCHAT PROFESSOR;CENTRO OESTE;SAO PAULO;6.85;;
3360;35003360;ALFREDO PAULINO;CENTRO OESTE;SAO PAULO;8.10;;
3372;35003372;ROMEU DE MORAES;CENTRO OESTE;SAO PAULO;;3.61;3.63
3384;35003384;ANHANGUERA;CENTRO OESTE;SAO PAULO;;3.55;2.88
3402;35003402;PEREIRA BARRETO;CENTRO OESTE;SAO PAULO;;;2.95
3414;35003414;ANTONIO PRADO CONSELHEIRO;CENTRO;SAO PAULO;5.08;;
3426;35003426;CANUTO DO VAL;CENTRO;SAO PAULO;;3.57;3.10
3448;35003448;PEDRO II;CENTRO;SAO PAULO;5.83;;
3451;35003451;JOAO KOPKE;CENTRO;SAO PAULO;;2.95;2.08
